Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PAN-water-IPA,,,,,,,
Reactor1,5.01 mg/ml PAN in Water,,,,,,,
Reactor2,50 mg/ml PAN in Water,,,,,,,
Reactor3,5.04 mg/ml PAN in IPA,,,,,,,
Reactor4,50.05 mg/ml PAN in IPA,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PAN:63,,,,,,,
solvent_ids,Water:1,IPA:5,,,,,,
Start of Experiment,9/15/23 12:07,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,39, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,557, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3600, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/15/23 12:07,0:00:00,25.2,25.2,89,86,100,100,0
9/15/23 12:07,0:00:01,25.2,25.2,89,86,100,100,0
9/15/23 12:07,0:00:02,24.8,25.2,100,100,100,100,0
9/15/23 12:07,0:00:03,24.5,25.2,100,100,100,100,0
9/15/23 12:07,0:00:04,24.2,25.2,100,100,100,100,0
9/15/23 12:07,0:00:05,23.8,25.1,100,100,100,100,0
9/15/23 12:07,0:00:06,23.5,25,100,100,100,100,0
9/15/23 12:07,0:00:07,23.2,24.9,100,100,100,100,0
9/15/23 12:07,0:00:08,22.8,24.8,100,100,100,100,0
9/15/23 12:07,0:00:09,22.5,24.6,100,100,100,100,0
9/15/23 12:07,0:00:10,22.2,24.4,100,100,100,100,0
9/15/23 12:07,0:00:11,21.8,24.2,100,100,100,100,0
9/15/23 12:07,0:00:12,21.5,24,100,100,100,100,0
9/15/23 12:07,0:00:13,21.2,23.8,100,100,100,100,0
9/15/23 12:07,0:00:14,20.8,23.6,100,100,100,100,0
9/15/23 12:07,0:00:15,20.5,23.3,100,100,100,100,0
9/15/23 12:07,0:00:16,20.2,23.1,100,100,100,100,0
9/15/23 12:07,0:00:17,20,22.8,100,100,100,100,0
9/15/23 12:08,0:00:18,20,22.6,100,100,100,100,0
9/15/23 12:08,0:00:19,20,22.3,100,100,100,100,0
9/15/23 12:08,0:00:20,20,22.1,100,100,100,100,0
9/15/23 12:08,0:00:21,20,21.9,100,100,100,100,0
9/15/23 12:08,0:00:22,20,21.6,100,100,100,100,0
