Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PS 30-Chloroform-IPA-Acetonitrile-Acetone,,,,,,,
Reactor1,30.01 mg/ml PS in Chloroform,,,,,,,
Reactor2,30 mg/ml PS in IPA,,,,,,,
Reactor3,30 mg/ml PS in Acetonitrile,,,,,,,
Reactor4,30 mg/ml PS in Acetone,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,PS:31,,,,,,,
solvent_ids,Chloroform:24,IPA:5,Acetonitrile:15,Acetone:16,,,,
Start of Experiment,9/13/23 12:05,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,B,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Stir (Bottom) at,900, rpm,,,,,,
Hold at,20, for ,15, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,1619, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3600, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7200, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3600, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/13/23 12:05,0:00:02,24.5,25.2,100,100,100,100,0
9/13/23 12:05,0:00:04,24.2,25.2,100,100,100,100,0
9/13/23 12:05,0:00:05,23.8,25.1,100,100,100,100,0
9/13/23 12:05,0:00:06,23.5,25.1,100,100,100,100,0
9/13/23 12:05,0:00:07,23.2,24.9,100,100,100,100,0
9/13/23 12:06,0:00:08,22.8,24.8,100,100,100,100,0
9/13/23 12:06,0:00:09,22.5,24.6,100,100,100,100,0
9/13/23 12:06,0:00:10,22.2,24.4,100,100,100,100,0
9/13/23 12:06,0:00:11,21.8,24.2,100,100,100,100,0
9/13/23 12:06,0:00:12,21.5,24,100,100,100,100,0
9/13/23 12:06,0:00:13,21.2,23.8,100,100,100,100,0
9/13/23 12:06,0:00:14,20.8,23.6,100,100,100,100,0
9/13/23 12:06,0:00:15,20.5,23.3,100,100,100,100,0
9/13/23 12:06,0:00:16,20.2,23.1,100,100,100,100,0
9/13/23 12:06,0:00:17,20,22.8,100,100,100,100,0
9/13/23 12:06,0:00:18,20,22.6,100,100,100,100,0
9/13/23 12:06,0:00:19,20,22.3,100,100,100,100,0
9/13/23 12:06,0:00:20,20,22.1,100,100,100,100,0
9/13/23 12:06,0:00:21,20,21.8,100,100,100,100,0
9/13/23 12:06,0:00:22,20,21.6,100,100,100,100,0
9/13/23 12:06,0:00:23,20,21.4,100,100,100,100,0
9/13/23 12:06,0:00:24,20,21.3,100,100,100,100,0
