Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,,,,,,,,
Project,MA-PLA-TOL-5-heating rate(0.5)-900RPM,,,,,,,
Reactor1,5.06 mg/ml PLA in TOL,,,,,,,
Reactor2,4.94 mg/ml PLA in TOL,,,,,,,
Reactor3,0 mg/ml  ,,,,,,,
Reactor4,0 mg/ml  ,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,This is the first set of experiments for test-case,,,,,,,
polymer_ids,PLA:38,,,,,,,
solvent_ids,TOL:26,,,,,,,
Start of Experiment,1/11/23 13:11,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,27, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,116, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
1/11/23 13:11,0:00:03,24.6,25.6,100,100,100,100,0
1/11/23 13:11,0:00:05,24.2,25.6,100,100,100,100,0
1/11/23 13:11,0:00:06,23.9,25.5,100,100,100,100,0
1/11/23 13:11,0:00:07,23.6,25.3,100,100,100,100,0
1/11/23 13:11,0:00:08,23.2,25.2,100,100,100,100,0
1/11/23 13:11,0:00:09,22.9,25,100,100,100,100,0
1/11/23 13:11,0:00:10,22.6,24.8,100,100,100,100,0
1/11/23 13:11,0:00:11,22.2,24.6,100,100,100,100,0
1/11/23 13:11,0:00:12,21.9,24.4,100,100,100,100,0
1/11/23 13:11,0:00:13,21.6,24.2,100,100,100,100,0
1/11/23 13:11,0:00:14,21.2,24,100,100,100,100,0
1/11/23 13:11,0:00:15,20.9,23.7,100,100,100,100,0
1/11/23 13:11,0:00:16,20.6,23.5,100,100,100,100,0
1/11/23 13:11,0:00:17,20.2,23.2,100,100,100,100,0
1/11/23 13:11,0:00:18,20,23,100,100,100,100,0
1/11/23 13:11,0:00:19,20,22.7,100,100,100,100,0
1/11/23 13:11,0:00:20,20,22.4,100,100,100,100,0
1/11/23 13:11,0:00:21,20,22.2,100,100,100,100,0
1/11/23 13:11,0:00:22,20,22,100,100,100,100,0
1/11/23 13:11,0:00:23,20,21.8,100,100,100,100,0
1/11/23 13:11,0:00:24,20,21.6,100,100,100,100,0
1/11/23 13:11,0:00:25,20,21.4,100,100,100,100,0
1/11/23 13:11,0:00:26,20,21.3,100,100,100,100,0
