Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Amari Murry,,,,,,,
Project,AM-PVP H-1-Octanol-2,4,6-TrimethylPyridine-Benzyl Alcohol-Cyclopentanone,,,,,
Reactor1,15.04 mg/ml PVP H in 1-octanol,,,,,,,
Reactor2,14.99 mg/ml PVP H in 2,4,6-TrimethylPyridine,,,,,
Reactor3,15.05 mg/ml PVP H in Benzyl Alcohol,,,,,,,
Reactor4,15.04 mg/ml PVP H in Cyclopentanone,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,1,300,000 MW,,,,,
polymer_ids,PVP H:60,,,,,,,
solvent_ids,1-octanol:47,"2,4,6-TrimethylPyridine:44",Benzyl Alcohol:48,Cyclopentanone:45,,,,
Start of Experiment,9/27/23 12:13,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,D,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,33, sec,,,,
Tune,,,,,,,,
Hold at,20, for ,170, sec,,,,
Stir (Bottom) at,900, rpm,,,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,60, at ,0.5, °C/min,,,,
Hold at,60, for ,3601, sec,,,,
Cool to,10, at ,0.5, °C/min,,,,
Hold at,10, for ,7201, sec,,,,
Heat to,25, at ,0.5, °C/min,,,,
Hold at,25, for ,3601, sec,,,,
,,,,,,,,
Data Block,,,,,,,,
Date Time,Decimal Time [mins],Temperature Setpoint [°C],Temperature Actual [°C],Reactor1 Transmission [%],Reactor2 Transmission [%],Reactor3 Transmission [%],Reactor4 Transmission [%],Stirring Rate [rpm]
9/27/23 12:13,0:00:00,25.1,25.1,66,67,69,67,0
9/27/23 12:13,0:00:01,25.1,25.1,100,100,100,100,0
9/27/23 12:13,0:00:02,24.7,25.1,100,100,100,100,0
9/27/23 12:13,0:00:03,24.4,25.1,100,100,100,100,0
9/27/23 12:13,0:00:04,24.1,25.1,100,100,100,100,0
9/27/23 12:13,0:00:05,23.7,25,100,100,100,100,0
9/27/23 12:13,0:00:06,23.4,25,100,100,100,100,0
9/27/23 12:13,0:00:07,23.1,24.8,100,100,100,100,0
9/27/23 12:13,0:00:08,22.7,24.7,100,100,100,100,0
9/27/23 12:14,0:00:09,22.4,24.6,100,100,100,100,0
9/27/23 12:14,0:00:10,22.1,24.4,100,100,100,100,0
9/27/23 12:14,0:00:11,21.7,24.2,100,100,100,100,0
9/27/23 12:14,0:00:12,21.4,24,100,100,100,100,0
9/27/23 12:14,0:00:13,21.1,23.8,100,100,100,100,0
9/27/23 12:14,0:00:14,20.7,23.5,100,100,100,100,0
9/27/23 12:14,0:00:15,20.4,23.3,100,100,100,100,0
9/27/23 12:14,0:00:16,20.1,23,100,100,100,100,0
9/27/23 12:14,0:00:17,20,22.8,100,100,100,100,0
9/27/23 12:14,0:00:18,20,22.5,100,100,100,100,0
9/27/23 12:14,0:00:19,20,22.3,100,100,100,100,0
9/27/23 12:14,0:00:20,20,22,100,100,100,100,0
9/27/23 12:14,0:00:21,20,21.8,100,100,100,100,0
9/27/23 12:14,0:00:22,20,21.6,100,100,100,100,0
9/27/23 12:14,0:00:23,20,21.4,100,100,100,100,0
9/27/23 12:14,0:00:24,20,21.2,100,100,100,100,0
9/27/23 12:14,0:00:25,20,21.1,100,100,100,100,0
9/27/23 12:14,0:00:26,20,21,100,100,100,100,0
9/27/23 12:14,0:00:27,20,20.9,100,100,100,100,0
9/27/23 12:14,0:00:28,20,20.8,100,100,100,100,0
9/27/23 12:14,0:00:29,20,20.7,100,100,100,100,0
9/27/23 12:14,0:00:30,20,20.6,100,100,100,100,0
9/27/23 12:14,0:00:31,20,20.6,100,100,100,100,0
9/27/23 12:14,0:00:32,20,20.5,100,100,100,100,0
9/27/23 12:14,0:00:33,20,20.4,100,100,100,100,0
9/27/23 12:14,0:00:34,20,20.4,100,100,100,100,0
9/27/23 12:14,0:00:35,20,20.4,100,100,100,100,0
9/27/23 12:14,0:00:36,20,20.3,100,100,100,100,0
9/27/23 12:14,0:00:37,20,20.3,100,100,100,100,0
9/27/23 12:14,0:00:38,20,20.3,100,100,100,100,0
9/27/23 12:14,0:00:39,20,20.2,100,100,100,100,0
9/27/23 12:14,0:00:41,20,20.2,100,100,100,100,0
9/27/23 12:14,0:00:42,20,20.2,100,100,100,100,0
9/27/23 12:14,0:00:43,20,20.1,100,100,100,100,0
9/27/23 12:14,0:00:53,20,20.1,100,100,100,100,0
9/27/23 12:14,0:00:54,20,20,100,100,100,100,0
9/27/23 12:14,0:01:01,20,20,100,100,100,100,0
9/27/23 12:14,0:01:02,20,20.1,100,100,100,100,0
9/27/23 12:15,0:01:22,20,20.1,100,100,100,100,0
9/27/23 12:15,0:01:23,20,20.1,54,100,100,100,0
9/27/23 12:15,0:01:24,20,20.1,54,100,100,100,0
9/27/23 12:15,0:01:25,20,20.1,54,100,100,100,0
9/27/23 12:15,0:01:28,20,20.1,54,100,100,100,0
9/27/23 12:15,0:01:29,20,20,54,100,100,100,0
9/27/23 12:15,0:01:40,20,20,54,100,100,100,0
9/27/23 12:15,0:01:43,20,20,54,100,100,100,0
9/27/23 12:15,0:01:51,20,20,54,100,100,100,0
9/27/23 12:15,0:01:52,20,20,54,100,100,100,0
9/27/23 12:15,0:01:54,20,20,54,100,100,100,0
9/27/23 12:15,0:01:55,20,20,86,79,100,100,0
9/27/23 12:15,0:01:56,20,20,99,61,100,100,0
9/27/23 12:15,0:01:57,20,20,100,62,100,100,0
9/27/23 12:15,0:01:58,20,20,100,62,100,100,0
9/27/23 12:15,0:01:59,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:01,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:02,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:03,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:04,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:06,20,20.1,100,62,100,100,0
9/27/23 12:15,0:02:07,20,20.1,100,62,100,100,0
9/27/23 12:16,0:02:09,20,20.1,100,62,100,100,0
9/27/23 12:16,0:02:10,20,20.1,100,62,100,100,0
9/27/23 12:16,0:02:11,20,20.1,100,62,100,100,0
9/27/23 12:16,0:02:12,20,20.1,100,62,100,100,0
9/27/23 12:16,0:02:13,20,20,100,62,100,100,0
9/27/23 12:16,0:02:15,20,20,100,62,100,100,0
9/27/23 12:16,0:02:18,20,20,100,62,100,100,0
9/27/23 12:16,0:02:19,20,20,100,62,100,100,0
9/27/23 12:16,0:02:21,20,20,100,62,100,100,0
9/27/23 12:16,0:02:22,20,20,100,62,100,100,0
9/27/23 12:16,0:02:23,20,20,100,61,100,100,0
9/27/23 12:16,0:02:24,20,20,100,63,86,100,0
9/27/23 12:16,0:02:25,20,20,100,91,68,100,0
9/27/23 12:16,0:02:26,20,20,100,100,68,100,0
9/27/23 12:16,0:02:28,20,20,100,100,68,100,0
9/27/23 12:16,0:02:29,20,20,100,100,68,100,0
9/27/23 12:16,0:02:39,20,20,100,100,68,100,0
9/27/23 12:16,0:02:40,20,20,100,100,68,100,0
9/27/23 12:17,0:03:10,20,20,100,100,68,100,0
9/27/23 12:17,0:03:11,20,20,100,100,100,65,0
9/27/23 12:17,0:03:12,20,20,100,100,100,66,0
9/27/23 12:17,0:03:26,20,20,100,100,100,66,0
9/27/23 12:17,0:03:53,20,20,100,100,100,66,0
9/27/23 12:17,0:03:54,20,20,100,100,100,47,0
9/27/23 12:17,0:03:55,20,20,100,100,100,93,0
9/27/23 12:17,0:03:56,20,20,100,100,100,100,0
9/27/23 12:17,0:03:58,20,20,100,100,100,100,0
9/27/23 12:17,0:03:59,20,20,100,100,100,100,0
9/27/23 12:17,0:04:00,20,20,100,98,100,100,0
9/27/23 12:17,0:04:01,20,20,100,70,100,50,0
9/27/23 12:17,0:04:02,20,20,100,76,100,63,0
9/27/23 12:17,0:04:03,20,20,100,74,100,53,0
9/27/23 12:17,0:04:04,20,20,100,71,100,55,0
9/27/23 12:17,0:04:05,20,20,100,72,100,51,0
9/27/23 12:17,0:04:06,20,20,100,71,100,55,0
9/27/23 12:17,0:04:07,20,20,100,76,100,53,0
9/27/23 12:17,0:04:08,20,20,100,73,100,63,0
9/27/23 12:18,0:04:09,20,20,100,73,100,56,0
9/27/23 12:18,0:04:10,20,20,100,75,100,59,0
9/27/23 12:18,0:04:11,20,20,100,76,100,48,0
9/27/23 12:18,0:04:12,20.1,20,100,75,100,53,0
9/27/23 12:18,0:04:13,20.1,20,100,76,100,51,0
9/27/23 12:18,0:04:14,20.1,20,100,74,100,52,0
9/27/23 12:18,0:04:15,20.1,20,100,77,100,55,0
9/27/23 12:18,0:04:16,20.1,20,100,71,100,56,0
9/27/23 12:18,0:04:17,20.1,20,100,74,100,60,0
9/27/23 12:18,0:04:18,20.1,20,100,70,100,51,0
9/27/23 12:18,0:04:19,20.1,20,100,74,100,44,0
9/27/23 12:18,0:04:20,20.1,20,100,74,100,49,0
9/27/23 12:18,0:04:21,20.1,20.1,100,75,100,53,0
9/27/23 12:18,0:04:22,20.1,20.1,100,73,100,52,0
9/27/23 12:18,0:04:23,20.1,20.1,100,74,100,50,0
9/27/23 12:18,0:04:24,20.2,20.1,100,76,100,56,0
9/27/23 12:18,0:04:25,20.2,20.1,100,75,100,53,0
9/27/23 12:18,0:04:26,20.2,20.1,100,75,100,55,0
9/27/23 12:18,0:04:27,20.2,20.1,100,74,100,48,0
9/27/23 12:18,0:04:28,20.2,20.1,100,71,100,52,0
9/27/23 12:18,0:04:29,20.2,20.1,100,71,100,59,0
9/27/23 12:18,0:04:30,20.2,20.1,100,73,100,49,0
9/27/23 12:18,0:04:31,20.2,20.1,100,73,100,50,0
9/27/23 12:18,0:04:32,20.2,20.1,100,74,100,56,0
9/27/23 12:18,0:04:33,20.2,20.1,100,73,100,46,0
9/27/23 12:18,0:04:34,20.2,20.1,100,75,100,52,0
9/27/23 12:18,0:04:35,20.2,20.2,100,76,100,60,0
9/27/23 12:18,0:04:36,20.3,20.1,100,83,100,55,0
9/27/23 12:18,0:04:37,20.3,20.2,100,72,100,50,0
9/27/23 12:18,0:04:38,20.3,20.2,100,73,100,55,0
9/27/23 12:18,0:04:39,20.3,20.2,100,78,100,56,0
9/27/23 12:18,0:04:40,20.3,20.2,100,74,100,50,0
9/27/23 12:18,0:04:41,20.3,20.2,100,75,100,58,0
9/27/23 12:18,0:04:42,20.3,20.2,100,74,100,55,0
9/27/23 12:18,0:04:43,20.3,20.2,100,78,100,52,0
9/27/23 12:18,0:04:44,20.3,20.2,100,78,100,58,0
9/27/23 12:18,0:04:45,20.3,20.2,100,72,100,53,0
9/27/23 12:18,0:04:46,20.3,20.2,100,72,100,48,0
9/27/23 12:18,0:04:47,20.4,20.2,100,74,100,55,0
9/27/23 12:18,0:04:48,20.4,20.2,100,78,100,56,0
9/27/23 12:18,0:04:49,20.4,20.2,100,76,100,48,0
9/27/23 12:18,0:04:50,20.4,20.3,100,70,100,53,0
9/27/23 12:18,0:04:51,20.4,20.3,100,73,100,60,0
9/27/23 12:18,0:04:52,20.4,20.3,100,74,100,50,0
9/27/23 12:18,0:04:53,20.4,20.3,100,72,100,50,0
9/27/23 12:18,0:04:54,20.4,20.3,100,76,100,52,0
9/27/23 12:18,0:04:55,20.4,20.3,100,74,100,56,0
9/27/23 12:18,0:04:56,20.4,20.3,100,76,100,53,0
9/27/23 12:18,0:04:57,20.4,20.3,100,68,100,56,0
9/27/23 12:18,0:04:58,20.4,20.3,100,76,100,60,0
9/27/23 12:18,0:04:59,20.5,20.3,100,73,100,55,0
9/27/23 12:18,0:05:00,20.5,20.3,100,73,100,61,0
9/27/23 12:18,0:05:01,20.5,20.3,100,77,100,47,0
9/27/23 12:18,0:05:02,20.5,20.4,100,74,100,60,0
9/27/23 12:18,0:05:03,20.5,20.4,100,72,100,50,0
9/27/23 12:18,0:05:04,20.5,20.4,100,65,100,50,0
9/27/23 12:18,0:05:05,20.5,20.4,100,75,100,54,0
9/27/23 12:18,0:05:06,20.5,20.4,100,74,100,56,0
9/27/23 12:18,0:05:07,20.5,20.4,100,77,100,58,0
9/27/23 12:19,0:05:08,20.5,20.4,100,78,100,54,0
9/27/23 12:19,0:05:09,20.5,20.4,100,70,100,60,0
9/27/23 12:19,0:05:10,20.5,20.4,100,73,100,57,0
9/27/23 12:19,0:05:11,20.6,20.4,100,71,100,49,0
9/27/23 12:19,0:05:12,20.6,20.4,100,76,100,56,0
9/27/23 12:19,0:05:13,20.6,20.4,100,72,100,50,0
9/27/23 12:19,0:05:14,20.6,20.4,100,74,100,52,0
9/27/23 12:19,0:05:15,20.6,20.5,100,76,100,55,0
9/27/23 12:19,0:05:16,20.6,20.5,100,76,100,48,0
9/27/23 12:19,0:05:17,20.6,20.5,100,72,100,55,0
9/27/23 12:19,0:05:18,20.6,20.5,100,77,100,56,0
9/27/23 12:19,0:05:19,20.6,20.5,100,73,100,55,0
9/27/23 12:19,0:05:20,20.6,20.5,100,71,100,52,0
9/27/23 12:19,0:05:21,20.6,20.5,100,74,100,57,0
9/27/23 12:19,0:05:23,20.6,20.5,100,76,100,53,0
9/27/23 12:19,0:05:24,20.7,20.5,100,74,100,58,0
9/27/23 12:19,0:05:25,20.7,20.5,100,71,100,56,0
9/27/23 12:19,0:05:26,20.7,20.5,100,75,100,56,0
9/27/23 12:19,0:05:27,20.7,20.5,100,78,100,58,0
9/27/23 12:19,0:05:28,20.7,20.6,100,68,100,55,0
9/27/23 12:19,0:05:29,20.7,20.6,100,72,100,54,0
9/27/23 12:19,0:05:30,20.7,20.6,100,74,100,55,0
9/27/23 12:19,0:05:31,20.7,20.6,100,73,100,60,0
9/27/23 12:19,0:05:32,20.7,20.6,100,80,100,58,0
9/27/23 12:19,0:05:33,20.7,20.6,100,78,100,56,0
9/27/23 12:19,0:05:34,20.7,20.6,100,78,100,54,0
9/27/23 12:19,0:05:35,20.7,20.6,100,71,100,57,0
9/27/23 12:19,0:05:36,20.8,20.6,100,76,100,52,0
9/27/23 12:19,0:05:37,20.8,20.6,100,75,100,53,0
9/27/23 12:19,0:05:38,20.8,20.6,100,77,100,60,0
9/27/23 12:19,0:05:39,20.8,20.6,100,72,100,53,0
9/27/23 12:19,0:05:40,20.8,20.7,100,75,100,55,0
9/27/23 12:19,0:05:41,20.8,20.7,100,74,100,58,0
9/27/23 12:19,0:05:42,20.8,20.7,100,78,100,57,0
9/27/23 12:19,0:05:43,20.8,20.7,100,69,100,53,0
9/27/23 12:19,0:05:44,20.8,20.7,100,78,100,52,0
9/27/23 12:19,0:05:45,20.8,20.7,100,73,100,53,0
9/27/23 12:19,0:05:46,20.8,20.7,100,73,100,63,0
9/27/23 12:19,0:05:47,20.8,20.7,100,76,100,55,0
9/27/23 12:19,0:05:48,20.9,20.7,100,76,100,54,0
9/27/23 12:19,0:05:49,20.9,20.7,100,73,100,51,0
9/27/23 12:19,0:05:50,20.9,20.7,100,71,100,59,0
9/27/23 12:19,0:05:51,20.9,20.8,100,78,100,62,0
9/27/23 12:19,0:05:52,20.9,20.8,100,73,100,54,0
9/27/23 12:19,0:05:53,20.9,20.8,100,70,100,61,0
9/27/23 12:19,0:05:54,20.9,20.8,100,73,100,56,0
9/27/23 12:19,0:05:55,20.9,20.8,100,74,100,60,0
9/27/23 12:19,0:05:56,20.9,20.8,100,71,100,52,0
9/27/23 12:19,0:05:57,20.9,20.8,100,76,100,56,0
9/27/23 12:19,0:05:58,20.9,20.8,100,72,100,55,0
9/27/23 12:19,0:05:59,21,20.8,100,72,100,60,0
9/27/23 12:19,0:06:00,21,20.8,100,74,100,56,0
9/27/23 12:19,0:06:01,21,20.8,100,77,100,55,0
9/27/23 12:19,0:06:02,21,20.8,100,74,100,63,0
9/27/23 12:19,0:06:03,21,20.9,100,74,100,61,0
9/27/23 12:19,0:06:04,21,20.9,100,76,100,58,0
9/27/23 12:19,0:06:05,21,20.9,100,79,100,61,0
9/27/23 12:19,0:06:06,21,20.9,100,75,100,60,0
9/27/23 12:19,0:06:07,21,20.9,100,73,100,56,0
9/27/23 12:19,0:06:08,21,20.9,100,76,100,52,0
9/27/23 12:20,0:06:09,21,20.9,100,73,100,55,0
9/27/23 12:20,0:06:10,21,20.9,100,76,100,63,0
9/27/23 12:20,0:06:11,21.1,20.9,100,71,100,55,0
9/27/23 12:20,0:06:12,21.1,20.9,100,71,100,55,0
9/27/23 12:20,0:06:13,21.1,20.9,100,76,100,58,0
9/27/23 12:20,0:06:14,21.1,20.9,100,73,100,58,0
9/27/23 12:20,0:06:15,21.1,21,100,76,100,55,0
9/27/23 12:20,0:06:16,21.1,21,100,78,100,56,0
9/27/23 12:20,0:06:17,21.1,21,100,71,100,54,0
9/27/23 12:20,0:06:18,21.1,21,100,76,100,63,0
9/27/23 12:20,0:06:19,21.1,21,100,76,100,54,0
9/27/23 12:20,0:06:20,21.1,21,100,75,100,61,0
9/27/23 12:20,0:06:21,21.1,21,100,77,100,63,0
9/27/23 12:20,0:06:22,21.1,21,100,76,100,58,0
9/27/23 12:20,0:06:23,21.2,21,100,76,100,58,0
9/27/23 12:20,0:06:24,21.2,21,100,74,100,59,0
9/27/23 12:20,0:06:25,21.2,21,100,70,100,61,0
9/27/23 12:20,0:06:26,21.2,21,100,74,100,55,0
9/27/23 12:20,0:06:27,21.2,21.1,100,77,100,58,0
9/27/23 12:20,0:06:28,21.2,21.1,100,77,100,56,0
9/27/23 12:20,0:06:29,21.2,21.1,100,75,100,59,0
9/27/23 12:20,0:06:30,21.2,21.1,100,72,100,57,0
9/27/23 12:20,0:06:31,21.2,21.1,100,77,100,61,0
9/27/23 12:20,0:06:32,21.2,21.1,100,73,100,62,0
9/27/23 12:20,0:06:33,21.2,21.1,100,74,100,60,0
9/27/23 12:20,0:06:34,21.2,21.1,100,75,100,60,0
9/27/23 12:20,0:06:35,21.3,21.1,100,77,100,58,0
9/27/23 12:20,0:06:36,21.3,21.1,100,72,100,58,0
9/27/23 12:20,0:06:37,21.3,21.2,100,73,100,56,0
9/27/23 12:20,0:06:38,21.3,21.2,100,71,100,61,0
9/27/23 12:20,0:06:39,21.3,21.2,100,72,100,61,0
9/27/23 12:20,0:06:40,21.3,21.2,100,76,100,61,0
9/27/23 12:20,0:06:41,21.3,21.2,100,78,100,56,0
9/27/23 12:20,0:06:43,21.3,21.2,100,74,100,62,0
9/27/23 12:20,0:06:44,21.3,21.2,100,75,100,66,0
9/27/23 12:20,0:06:45,21.3,21.2,100,75,100,64,0
9/27/23 12:20,0:06:46,21.3,21.2,100,74,100,65,0
9/27/23 12:20,0:06:47,21.3,21.2,100,75,100,63,0
9/27/23 12:20,0:06:48,21.4,21.2,100,78,100,65,0
9/27/23 12:20,0:06:49,21.4,21.2,100,71,100,63,0
9/27/23 12:20,0:06:50,21.4,21.3,100,81,100,64,0
9/27/23 12:20,0:06:51,21.4,21.3,100,76,100,60,0
9/27/23 12:20,0:06:52,21.4,21.3,100,74,100,60,0
9/27/23 12:20,0:06:53,21.4,21.3,100,71,100,63,0
9/27/23 12:20,0:06:54,21.4,21.3,100,75,100,60,0
9/27/23 12:20,0:06:55,21.4,21.3,100,78,100,65,0
9/27/23 12:20,0:06:56,21.4,21.3,100,74,100,63,0
9/27/23 12:20,0:06:57,21.4,21.3,100,74,100,64,0
9/27/23 12:20,0:06:58,21.4,21.3,100,76,100,61,0
9/27/23 12:20,0:06:59,21.4,21.4,100,73,100,60,0
9/27/23 12:20,0:07:00,21.5,21.3,100,71,100,60,0
9/27/23 12:20,0:07:01,21.5,21.3,100,78,100,64,0
9/27/23 12:20,0:07:02,21.5,21.3,100,74,100,66,0
9/27/23 12:20,0:07:03,21.5,21.4,100,76,100,61,0
9/27/23 12:20,0:07:04,21.5,21.4,100,71,100,65,0
9/27/23 12:20,0:07:05,21.5,21.4,100,72,100,63,0
9/27/23 12:20,0:07:06,21.5,21.4,100,76,100,60,0
9/27/23 12:20,0:07:07,21.5,21.4,100,77,100,66,0
9/27/23 12:20,0:07:08,21.5,21.4,100,76,100,66,0
9/27/23 12:21,0:07:09,21.5,21.4,100,77,100,69,0
9/27/23 12:21,0:07:10,21.5,21.4,100,76,100,66,0
9/27/23 12:21,0:07:11,21.5,21.4,100,77,100,67,0
9/27/23 12:21,0:07:12,21.6,21.5,100,76,100,64,0
9/27/23 12:21,0:07:13,21.6,21.4,100,79,100,66,0
9/27/23 12:21,0:07:14,21.6,21.4,100,73,100,62,0
9/27/23 12:21,0:07:15,21.6,21.5,100,78,100,64,0
9/27/23 12:21,0:07:16,21.6,21.5,100,75,100,66,0
9/27/23 12:21,0:07:17,21.6,21.5,100,72,100,66,0
9/27/23 12:21,0:07:18,21.6,21.5,100,73,100,66,0
9/27/23 12:21,0:07:19,21.6,21.5,100,76,100,67,0
9/27/23 12:21,0:07:20,21.6,21.5,100,72,100,69,0
9/27/23 12:21,0:07:21,21.6,21.5,100,70,100,68,0
9/27/23 12:21,0:07:22,21.6,21.5,100,71,100,67,0
9/27/23 12:21,0:07:23,21.7,21.5,100,74,100,64,0
9/27/23 12:21,0:07:24,21.7,21.6,100,77,100,69,0
9/27/23 12:21,0:07:25,21.7,21.6,100,70,100,69,0
9/27/23 12:21,0:07:26,21.7,21.6,100,76,100,67,0
9/27/23 12:21,0:07:27,21.7,21.6,100,78,100,64,0
9/27/23 12:21,0:07:28,21.7,21.6,100,77,100,67,0
9/27/23 12:21,0:07:29,21.7,21.6,100,76,100,68,0
9/27/23 12:21,0:07:30,21.7,21.6,100,82,100,67,0
9/27/23 12:21,0:07:31,21.7,21.6,100,76,100,68,0
9/27/23 12:21,0:07:32,21.7,21.6,100,71,100,70,0
9/27/23 12:21,0:07:33,21.7,21.6,100,75,100,68,0
9/27/23 12:21,0:07:34,21.7,21.6,100,76,100,64,0
9/27/23 12:21,0:07:35,21.8,21.6,100,74,100,67,0
9/27/23 12:21,0:07:36,21.8,21.7,100,76,100,66,0
9/27/23 12:21,0:07:37,21.8,21.7,100,74,100,67,0
9/27/23 12:21,0:07:38,21.8,21.7,100,72,100,67,0
9/27/23 12:21,0:07:39,21.8,21.7,100,74,100,67,0
9/27/23 12:21,0:07:40,21.8,21.7,100,76,100,71,0
9/27/23 12:21,0:07:41,21.8,21.7,100,73,100,70,0
9/27/23 12:21,0:07:42,21.8,21.7,100,74,100,74,0
9/27/23 12:21,0:07:43,21.8,21.7,100,73,100,68,0
9/27/23 12:21,0:07:44,21.8,21.7,100,71,100,70,0
9/27/23 12:21,0:07:45,21.8,21.7,100,78,100,69,0
9/27/23 12:21,0:07:46,21.8,21.7,100,76,100,69,0
9/27/23 12:21,0:07:47,21.9,21.7,100,73,100,64,0
9/27/23 12:21,0:07:48,21.9,21.7,100,76,100,70,0
9/27/23 12:21,0:07:49,21.9,21.8,100,79,100,70,0
9/27/23 12:21,0:07:50,21.9,21.8,100,74,100,66,0
9/27/23 12:21,0:07:51,21.9,21.8,100,76,100,67,0
9/27/23 12:21,0:07:52,21.9,21.8,100,74,100,71,0
9/27/23 12:21,0:07:53,21.9,21.8,100,73,100,72,0
9/27/23 12:21,0:07:54,21.9,21.8,100,74,100,71,0
9/27/23 12:21,0:07:55,21.9,21.8,100,73,100,73,0
9/27/23 12:21,0:07:56,21.9,21.8,100,76,100,67,0
9/27/23 12:21,0:07:57,21.9,21.8,100,76,100,68,0
9/27/23 12:21,0:07:58,21.9,21.8,100,73,100,70,0
9/27/23 12:21,0:07:59,22,21.8,100,76,100,73,0
9/27/23 12:21,0:08:00,22,21.8,100,77,100,70,0
9/27/23 12:21,0:08:01,22,21.9,100,74,100,70,0
9/27/23 12:21,0:08:02,22,21.9,100,74,100,70,0
9/27/23 12:21,0:08:03,22,21.9,100,75,100,70,0
9/27/23 12:21,0:08:04,22,21.9,100,74,100,74,0
9/27/23 12:21,0:08:05,22,21.9,100,72,100,75,0
9/27/23 12:21,0:08:06,22,21.9,100,74,100,74,0
9/27/23 12:21,0:08:07,22,21.9,100,74,100,73,0
9/27/23 12:22,0:08:08,22,21.9,100,72,100,74,0
9/27/23 12:22,0:08:09,22,21.9,100,73,100,78,0
9/27/23 12:22,0:08:10,22,21.9,100,75,100,78,0
9/27/23 12:22,0:08:12,22.1,21.9,100,79,100,77,0
9/27/23 12:22,0:08:13,22.1,22,100,78,100,77,0
9/27/23 12:22,0:08:14,22.1,22,100,76,100,78,0
9/27/23 12:22,0:08:15,22.1,22,100,74,100,77,0
9/27/23 12:22,0:08:16,22.1,22,100,74,100,70,0
9/27/23 12:22,0:08:17,22.1,22,100,77,100,70,0
9/27/23 12:22,0:08:18,22.1,22,100,77,100,76,0
9/27/23 12:22,0:08:19,22.1,22,100,71,100,71,0
9/27/23 12:22,0:08:20,22.1,22,100,76,100,75,0
9/27/23 12:22,0:08:21,22.1,22,100,73,100,78,0
9/27/23 12:22,0:08:22,22.1,22,100,68,100,70,0
9/27/23 12:22,0:08:23,22.1,22,100,76,100,75,0
9/27/23 12:22,0:08:24,22.2,22,100,72,100,78,0
9/27/23 12:22,0:08:25,22.2,22,100,76,100,75,0
9/27/23 12:22,0:08:26,22.2,22,100,79,100,77,0
9/27/23 12:22,0:08:27,22.2,22.1,100,71,100,72,0
9/27/23 12:22,0:08:28,22.2,22.1,100,74,100,75,0
9/27/23 12:22,0:08:29,22.2,22.1,100,78,100,76,0
9/27/23 12:22,0:08:30,22.2,22.1,100,74,100,72,0
9/27/23 12:22,0:08:31,22.2,22.1,100,67,100,76,0
9/27/23 12:22,0:08:32,22.2,22.1,100,77,100,80,0
9/27/23 12:22,0:08:33,22.2,22.1,100,74,100,77,0
9/27/23 12:22,0:08:34,22.2,22.1,100,76,100,80,0
9/27/23 12:22,0:08:35,22.2,22.1,100,73,100,75,0
9/27/23 12:22,0:08:36,22.3,22.1,100,77,100,75,0
9/27/23 12:22,0:08:37,22.3,22.1,100,76,100,75,0
9/27/23 12:22,0:08:38,22.3,22.1,100,79,100,80,0
9/27/23 12:22,0:08:39,22.3,22.2,100,71,100,80,0
9/27/23 12:22,0:08:40,22.3,22.2,100,70,100,77,0
9/27/23 12:22,0:08:41,22.3,22.2,100,73,100,76,0
9/27/23 12:22,0:08:42,22.3,22.2,100,71,100,78,0
9/27/23 12:22,0:08:43,22.3,22.2,100,74,100,78,0
9/27/23 12:22,0:08:44,22.3,22.2,100,76,100,75,0
9/27/23 12:22,0:08:45,22.3,22.2,100,79,100,79,0
9/27/23 12:22,0:08:46,22.3,22.2,100,75,100,78,0
9/27/23 12:22,0:08:47,22.4,22.2,100,74,100,81,0
9/27/23 12:22,0:08:48,22.4,22.2,100,74,100,80,0
9/27/23 12:22,0:08:49,22.4,22.2,100,74,100,83,0
9/27/23 12:22,0:08:50,22.4,22.3,100,78,100,83,0
9/27/23 12:22,0:08:51,22.4,22.3,100,76,100,81,0
9/27/23 12:22,0:08:52,22.4,22.3,100,72,100,79,0
9/27/23 12:22,0:08:53,22.4,22.3,100,74,100,83,0
9/27/23 12:22,0:08:54,22.4,22.3,100,77,100,83,0
9/27/23 12:22,0:08:55,22.4,22.3,100,77,100,81,0
9/27/23 12:22,0:08:56,22.4,22.3,100,76,100,83,0
9/27/23 12:22,0:08:57,22.4,22.3,100,77,100,80,0
9/27/23 12:22,0:08:58,22.4,22.3,100,73,100,83,0
9/27/23 12:22,0:08:59,22.5,22.3,100,76,100,81,0
9/27/23 12:22,0:09:00,22.5,22.3,100,74,100,82,0
9/27/23 12:22,0:09:01,22.5,22.4,100,73,100,80,0
